     VARIABLES=
              x              y              z      nomin_den    nomin_voidr      fabric_xx      fabric_yy      fabric_zz      fabric_xy      fabric_xz      fabric_yz       sigma_xx       sigma_yy       sigma_zz       sigma_xy       sigma_xz       sigma_yz    sigmaDot_xx    sigmaDot_yy    sigmaDot_zz    sigmaDot_xy    sigmaDot_xz    sigmaDot_yz       Oldro_xx       Oldro_xy       Oldro_xz       Oldro_yx       Oldro_yy       Oldro_yz       Oldro_zx       Oldro_zy       Oldro_zz       Trues_xx       Trues_xy       Trues_xz       Trues_yx       Trues_yy       Trues_yz       Trues_zx       Trues_zy       Trues_zz           F_xX           F_xY           F_xZ           F_yX           F_yY           F_yZ           F_zX           F_zY           F_zZ           R_xX           R_xY           R_xZ           R_yX           R_yY           R_yZ           R_zX           R_zY           R_zZ           U_xX           U_yY           U_zZ           U_xY           U_xZ           U_yZ       Green_xx       Green_yy       Green_zz       Green_xy       Green_xz       Green_yz      Green_vol      Green_shr       Euler_xx       Euler_yy       Euler_zz       Euler_xy       Euler_xz       Euler_yz      Euler_vol      Euler_shr           l_xx           l_xy           l_xz           l_yx           l_yy           l_yz           l_zx           l_zy           l_zz           d_xx           d_yy           d_zz           d_xy           d_xz           d_yz           w_xy           w_xz           w_yz     norm_sigma  norm_sigmaDot     norm_Oldro     norm_Trues         norm_F         norm_U         norm_l         norm_d         norm_w              p              q        sigma_1        sigma_2        sigma_3     sigma_1_v1     sigma_1_v2     sigma_1_v3     sigma_2_v1     sigma_2_v2     sigma_2_v3     sigma_3_v1     sigma_3_v2     sigma_3_v3     sigmaDot_1     sigmaDot_2     sigmaDot_3  sigmaDot_1_v1  sigmaDot_1_v2  sigmaDot_1_v3  sigmaDot_2_v1  sigmaDot_2_v2  sigmaDot_2_v3  sigmaDot_3_v1  sigmaDot_3_v2  sigmaDot_3_v3            d_1            d_2            d_3         d_1_v1         d_1_v2         d_1_v3         d_2_v1         d_2_v2         d_2_v3         d_3_v1         d_3_v2         d_3_v3
ZONE I=2, J=2, K=2, DATAPACKING=POINT, STRANDID=5, SOLUTIONTIME=74
   5.000000e-03   5.000000e-03   5.253276e-03   1.575477e+03   6.820305e-01   3.407112e-01   3.072003e-01   3.520885e-01   6.667215e-03  -4.687704e-04   5.668503e-04  -3.167904e+02  -2.446612e+02  -3.730395e+02  -2.427977e+01   2.415776e+01  -2.613585e+01   2.862917e+01  -1.855714e+01   1.167650e+00  -1.335715e+00   6.796009e+00  -4.209634e+00   2.819126e+01  -1.532845e+00   4.096468e+00  -1.634258e+00  -1.863149e+01  -3.290004e+00   9.552361e+00  -5.080829e+00   1.166563e+00   2.843610e+01  -1.514080e+00   4.077798e+00  -1.615494e+00  -1.844240e+01  -3.269804e+00   9.533690e+00  -5.060630e+00   1.454871e+00   5.029817e+02  -8.538983e+02  -2.694338e-03  -3.330784e+02  -1.003787e+03   2.822561e-03  -8.501490e+01   1.680712e+02   1.987976e-02   7.722444e-01  -6.104002e-01   1.762108e-01  -6.221245e-01  -7.827766e-01   1.489796e-02  -1.288400e-01   1.211299e-01   9.842397e-01   6.065943e+02   1.327319e+03   1.913373e-02  -5.659200e+01  -6.397981e-03   1.843224e-03   1.855792e+05   8.824887e+05  -4.997948e-01  -5.472201e+04  -1.992706e+00   1.404328e+00   3.560225e+05   5.409615e+05  -4.191132e+01   1.971049e-01  -1.322544e+03  -3.584152e+00  -2.368798e+02  -2.001856e+01  -4.547528e+02   9.105056e+02  -6.816917e-04  -9.444688e-05   2.930133e-05  -6.505708e-04  -9.027583e-05   2.722816e-05   1.075671e-05   1.903366e-06  -8.938768e-07  -6.816917e-04  -9.027583e-05  -8.938768e-07  -3.725088e-04   2.002902e-05   1.456576e-05   2.780619e-04   9.272309e-06   1.266240e-05   5.505326e+02   3.623858e+01   3.595732e+01   3.604960e+01   1.461553e+03   1.461553e+03   9.522268e-04   8.669524e-04   3.938648e-04  -3.114970e+02   1.341356e+02  -3.840394e+02  -3.205101e+02  -2.299416e+02  -2.946710e-01   1.262891e-01   9.472170e-01  -9.006614e-01  -3.679509e-01  -2.311303e-01   3.193401e-01  -9.212292e-01   2.221681e-01  -1.981860e+01  -7.136191e-01   3.177189e+01  -2.043657e-02   9.692922e-01   2.450614e-01  -3.099661e-01  -2.391777e-01   9.201712e-01   9.505279e-01  -5.715557e-02   3.053357e-01  -8.622845e-04  -4.197928e-07   8.984285e-05   9.000669e-01   4.348330e-01  -2.828117e-02  -4.668646e-02   3.170144e-02  -9.984064e-01  -4.332435e-01   8.999529e-01   4.883423e-02
   5.000000e-03   5.000000e-03   1.575983e-02   1.087368e+03   1.437076e+00   3.546013e-01   3.200316e-01   3.253672e-01  -9.976436e-03   2.483709e-02   3.457356e-03  -6.660383e+01  -7.674728e+01  -1.060718e+02   8.013921e+00   9.564839e-01   1.476003e+00   2.742652e+01  -2.134828e+00   1.587272e+01   2.946983e+00  -1.042110e+01  -1.122636e+00   2.742666e+01  -1.321548e+00  -8.078769e+00   7.215401e+00  -2.134863e+00  -1.088299e+00  -1.276357e+01  -1.156867e+00   1.587271e+01   2.742661e+01  -1.321542e+00  -8.078768e+00   7.215407e+00  -2.134919e+00  -1.088298e+00  -1.276357e+01  -1.156866e+00   1.587264e+01   4.045324e+02  -1.217120e+03   1.976895e-02  -1.073970e+03   1.174091e+03  -1.298039e-03  -1.136228e+02  -8.644495e+02   2.675489e-02   6.245659e-03  -6.724523e-01  -7.401141e-01  -8.660895e-01   3.663228e-01  -3.401420e-01  -4.998499e-01  -6.431294e-01   5.801160e-01   9.894754e+02   1.804504e+03   1.331180e-03  -5.923744e+02  -1.212574e-02  -3.097603e-02   6.649840e+05   1.803571e+06  -4.994458e-01  -8.275410e+05   3.175635e+00  -2.435672e+01   8.228515e+05   1.422080e+06  -1.548556e+05  -3.270858e+04  -9.512429e+04  -7.117023e+04   1.213699e+05   5.578033e+04  -9.422950e+04   1.884600e+05   1.027446e-06  -2.751732e-07  -1.491263e-07  -4.343054e-07  -2.599168e-07   4.751070e-07  -7.718659e-07  -5.781471e-08  -3.361253e-08   1.027446e-06  -2.599168e-07  -3.361253e-08  -3.547393e-07  -4.604961e-07   2.086462e-07   7.956612e-08   3.113698e-07   2.664609e-07   1.473502e+02   3.596136e+01   3.596149e+01   3.596143e+01   2.221961e+03   2.221961e+03   1.495245e-06   1.373751e-06   5.903953e-07  -8.314098e+01   3.823898e+01  -1.061541e+02  -8.113189e+01  -6.213692e+01   1.481440e-02   4.609664e-02  -9.988271e-01  -4.844114e-01   8.742116e-01   3.316085e-02   8.747149e-01   4.833520e-01   3.528066e-02  -4.005146e+00   8.351966e+00   3.681759e+01   2.665454e-01  -9.568822e-01   1.154559e-01  -4.775154e-01  -2.351605e-01  -8.465687e-01   8.372172e-01   1.705170e-01  -5.196070e-01  -3.907271e-07  -1.800096e-07   1.304654e-06  -9.436243e-02  -9.077795e-01   4.086957e-01  -4.201736e-01  -3.358561e-01  -8.430034e-01   9.025242e-01  -2.512710e-01  -3.497328e-01
   5.000000e-03   1.500000e-02   5.253276e-03   1.524977e+03   7.377309e-01   3.310406e-01   3.223721e-01   3.465874e-01  -4.754131e-04   1.638985e-03   1.542010e-02  -2.983356e+02  -2.536609e+02  -2.910098e+02  -7.121778e+00   2.964019e+01  -3.485301e+01   4.704778e+00   8.153252e+00  -1.331592e+00  -3.969920e+00   1.081271e+00  -5.077904e-01   2.183372e+00   2.277507e-01   2.586587e+00   2.130187e-01   8.096258e+00  -8.428889e-01   2.996592e+00  -1.025561e+00  -1.401536e+00   3.463106e+00   2.582999e-01   2.459443e+00   2.435683e-01   9.184356e+00  -6.933840e-01   2.869448e+00  -8.760566e-01  -1.532268e-01  -4.847175e+02   4.784862e+01  -1.251143e+00  -3.693029e+02   1.877612e+02  -1.065595e+00  -5.606435e+02  -5.993851e+02  -5.651745e-01  -6.529524e-01   2.638417e-01  -7.099583e-01  -5.567913e-01   4.682449e-01   6.860978e-01  -5.134555e-01  -8.432878e-01   1.588369e-01   8.099876e+02   6.059968e+02   6.738632e-02   1.719709e+02   1.700443e+00  -3.524585e-01   3.428279e+05   1.984026e+05   1.010137e+00   1.217538e+05   6.584199e+02   3.940714e+01   1.804105e+05   2.434468e+05  -6.281814e+01  -5.927763e+01  -2.692461e+00   6.152242e+01   1.421762e+01  -1.381440e+01  -4.159608e+01   8.419215e+01  -3.694853e-03   5.424611e-04   5.474320e-03   1.303847e-02  -4.703914e-04  -5.837018e-05  -4.966342e-05  -7.505398e-06  -1.243330e-04  -3.694853e-03  -4.703914e-04  -1.243330e-04   6.790468e-03   2.712329e-03  -3.293779e-05  -6.248006e-03   2.761992e-03  -2.543239e-05   4.922628e+02   1.117403e+01   9.476829e+00   1.058423e+01   1.040416e+03   1.040416e+03   1.463417e-02   1.099205e-02   9.660935e-03  -2.810021e+02   9.030055e+01  -3.296721e+02  -2.873507e+02  -2.259835e+02  -6.267991e-01   2.754723e-01   7.288607e-01  -7.177614e-01  -5.681501e-01  -4.025221e-01  -3.032186e-01   7.754486e-01  -5.538393e-01  -1.600223e+00   2.242868e+00   1.088379e+01  -2.170926e-01  -2.859007e-02   9.757322e-01  -8.043613e-01  -5.610882e-01  -1.954045e-01   5.530585e-01  -8.272621e-01   9.881138e-02  -9.560986e-03  -1.498706e-04   5.421279e-03   7.799973e-01  -5.834599e-01  -2.262271e-01  -1.329696e-02  -3.768818e-01   9.261659e-01  -6.256416e-01  -7.193988e-01  -3.017250e-01
   5.000000e-03   1.500000e-02   1.575983e-02   1.197247e+03   1.213411e+00   3.400588e-01   3.266708e-01   3.332704e-01   1.724097e-02   2.007911e-02   1.382763e-03  -1.011762e+02  -8.801706e+01  -1.335811e+02  -1.033474e+01  -9.131244e+00  -1.376630e+00   3.573208e+00   9.663438e+00  -1.393611e+00  -1.516059e+00  -3.922021e-01   8.696770e-01   3.573217e+00  -1.450203e+00  -7.874230e-01  -1.581937e+00   9.663448e+00   1.028565e+00   3.015346e-03   7.108093e-01  -1.393592e+00   3.573198e+00  -1.450205e+00  -7.874247e-01  -1.581939e+00   9.663431e+00   1.028564e+00   3.013648e-03   7.108091e-01  -1.393616e+00  -5.672725e+02  -1.807534e+02  -2.397525e-02  -7.769485e+02   1.163676e+03   2.513296e-03   4.112106e+02  -6.681781e+02   1.619453e-02  -8.735563e-01  -4.847164e-01  -4.415232e-02  -4.412146e-01   7.503142e-01   4.922990e-01   2.054973e-01  -4.495315e-01   8.693056e-01   9.228481e+02   1.261104e+03   1.637386e-02  -4.928413e+02   2.316276e-02   6.227009e-03   5.472701e+05   9.166371e+05  -4.995783e-01  -5.381708e+05   9.153582e+00  -1.781280e+00   4.879689e+05   8.183899e+05  -3.129479e+00  -4.515412e+02  -1.408995e+03   4.050522e+01   7.152434e+01  -7.982166e+02  -6.212219e+02   1.243444e+03   4.509284e-08  -4.930014e-08   2.633711e-08  -7.689988e-08   6.425003e-08   5.541386e-08  -6.610829e-08   4.298055e-08   7.660626e-08   4.509284e-08   6.425003e-08   7.660626e-08  -6.310001e-08  -1.988559e-08   4.919721e-08   1.379987e-08   4.622270e-08   6.216655e-09   1.902937e+02   1.071824e+01   1.071826e+01   1.071824e+01   1.711086e+03   1.711086e+03   1.742298e-07   1.600774e-07   6.878402e-08  -1.075914e+02   4.717968e+01  -1.363185e+02  -1.043202e+02  -8.213558e+01   2.741727e-01   8.596190e-02   9.578308e-01  -8.213922e-01  -4.970588e-01   2.797273e-01   5.001442e-01  -8.634484e-01  -6.567153e-02  -1.441378e+00   3.193143e+00   1.009127e+01  -2.171845e-02  -6.694337e-02   9.975204e-01  -9.716556e-01  -2.335151e-01  -3.682645e-02   2.354013e-01  -9.700460e-01  -5.997431e-02  -1.323741e-08   4.662202e-08   1.525645e-07  -6.764464e-01  -6.987041e-01   2.328796e-01   5.461809e-01  -2.637908e-01   7.950477e-01   4.940716e-01  -6.650015e-01  -5.600592e-01
   1.500000e-02   5.000000e-03   5.253276e-03   1.713035e+03   5.469623e-01   3.322240e-01   3.198775e-01   3.478985e-01   4.586877e-03  -1.146596e-02   2.025071e-02  -2.896202e+02  -2.594805e+02  -3.708230e+02   1.832287e+01  -3.938179e+00  -4.828906e+01   5.874884e+01  -8.901456e+01   9.395830e+01   1.024701e+02  -1.248922e+02  -1.397051e+02   5.873380e+01   1.510197e+02  -1.240271e+02   5.418574e+01  -8.898033e+01  -6.746683e+01  -1.254645e+02  -2.118992e+02   9.395583e+01   5.871906e+01   1.510206e+02  -1.240273e+02   5.418667e+01  -8.899353e+01  -6.746929e+01  -1.254647e+02  -2.119016e+02   9.393696e+01  -7.185315e+00  -1.217187e+02  -2.038589e-02  -1.149871e+03   4.504183e+02   1.727903e-03   1.262967e+03  -8.442173e+02   1.515205e-02  -2.039278e-01  -4.245480e-01  -8.821408e-01  -8.860259e-01  -3.032046e-01   3.507492e-01   4.163790e-01  -8.531272e-01   3.143287e-01   1.546153e+03   6.353313e+02   2.335201e-02  -7.257749e+02   8.935278e-03  -4.795744e-03   1.458669e+06   4.651970e+05  -4.996759e-01  -7.916334e+05   8.648075e+00  -4.765999e+00   6.412886e+05   1.255319e+06  -7.130086e+02  -1.123044e+02  -9.009016e+01   2.837021e+02   2.542378e+02  -1.010889e+02  -3.051344e+02   6.112687e+02  -1.930207e-06   4.518464e-04   3.346151e-04   1.019957e-07   5.618246e-05   5.258015e-05   1.561975e-06   2.046163e-07  -3.367170e-06  -1.930207e-06   5.618246e-05  -3.367170e-06   2.259742e-04   1.680885e-04   2.639239e-05   2.258722e-04   1.665266e-04   2.618777e-05   5.422968e+02   3.557447e+02   3.556895e+02   3.556880e+02   1.961564e+03   1.961564e+03   5.675131e-04   4.039813e-04   3.985854e-04  -3.066412e+02   1.341534e+02  -3.889203e+02  -2.958604e+02  -2.351429e+02   2.805846e-02  -3.528396e-01  -9.352630e-01  -9.461670e-01   2.924483e-01  -1.387153e-01   3.224603e-01   8.888072e-01  -3.256396e-01  -2.306251e+02  -1.241039e+01   3.067281e+02  -9.480040e-02  -8.163694e-01  -5.696963e-01  -8.728659e-01   3.433309e-01  -3.467405e-01   4.786627e-01   4.643974e-01  -7.451289e-01  -2.549755e-04  -7.402204e-06   3.132628e-04   7.426688e-01  -5.017342e-01  -4.435154e-01   7.444656e-02  -5.963355e-01   7.992757e-01   6.655079e-01   6.266153e-01   4.055274e-01
   1.500000e-02   5.000000e-03   1.575983e-02   1.115058e+03   1.376559e+00   3.330019e-01   3.613500e-01   3.056481e-01   1.096332e-02   3.956542e-03   2.199406e-03  -1.115936e+02  -1.195226e+02  -1.341514e+02  -2.204070e+00   1.332667e+00   1.538436e+01   2.582961e-01  -9.878076e+00   4.563192e+01   6.849640e+00   1.473426e+01  -1.300340e+01   2.582144e-01  -2.104198e+00   1.472405e+01   1.580357e+01  -9.878157e+00  -2.417309e+01   1.474484e+01  -1.833523e+00   4.563223e+01   2.581535e-01  -2.104199e+00   1.472405e+01   1.580357e+01  -9.878223e+00  -2.417308e+01   1.474484e+01  -1.833515e+00   4.563216e+01  -1.124084e+03   1.271325e+03   1.067151e+01   5.422836e+02  -2.595662e+02  -1.056539e+01   1.155394e+03   5.020250e+02   3.861074e+00  -5.138168e-01   8.180651e-01  -2.583830e-01   3.000325e-01  -1.108088e-01  -9.474713e-01   8.037243e-01   5.643500e-01   1.885107e-01   1.668894e+03   1.352107e+03   7.980925e+00  -3.276169e+02  -5.549921e+00   1.207972e+01   1.446285e+06   9.678354e+05   1.197082e+02  -4.948990e+05  -6.632022e+03   9.123866e+03   8.047466e+05   1.024922e+06   4.994273e-01   4.927722e-01   4.997233e-01  -2.034182e-03   3.976826e-04   1.413319e-03   4.973076e-01   5.384276e-03  -3.577649e-07   3.336515e-07   1.239348e-06   2.549696e-07  -3.035910e-07   3.168858e-07   1.930110e-07   5.630906e-07   1.207661e-06  -3.577649e-07  -3.035910e-07   1.207661e-06   2.943105e-07   7.161794e-07   4.399882e-07   3.934091e-08   5.231684e-07  -1.231024e-07   2.126547e+02   5.878773e+01   5.878804e+01   5.878799e+01   2.197381e+03   2.197381e+03   1.961037e-06   1.806890e-06   7.621117e-07  -1.217559e+02   3.350798e+01  -1.440353e+02  -1.120239e+02  -1.092084e+02  -7.092019e-02  -5.348108e-01   8.419903e-01  -8.859806e-01  -3.540329e-01  -2.994981e-01  -4.582671e-01   7.672275e-01   4.487239e-01  -2.299159e+01   8.866711e+00   5.013702e+01  -6.203377e-01   7.691001e-01   1.538380e-01  -7.257473e-01  -6.372324e-01   2.592792e-01  -2.974422e-01  -4.919314e-02  -9.534716e-01  -6.867921e-07  -3.916435e-07   1.624741e-06  -8.833549e-01   4.022917e-01   2.405110e-01   2.977645e-01   8.779543e-01  -3.748768e-01   3.619675e-01   2.595336e-01   8.953334e-01
   1.500000e-02   1.500000e-02   5.253276e-03   1.596827e+03   6.595413e-01   3.125667e-01   3.302800e-01   3.571534e-01  -1.674167e-03   1.040025e-02   2.023095e-02  -3.142576e+02  -3.492058e+02  -3.554700e+02  -4.056205e+01   1.807689e+01   2.117739e+01   3.118516e+01   3.822922e+01   3.561813e+01   4.664453e+00  -1.006483e+00  -7.912498e+00   5.498672e+01  -7.448876e+00  -2.283326e+01  -7.819209e+00   6.936679e+01  -6.383116e+01  -2.482482e+01  -6.313572e+01   4.568681e+01   2.644671e+01  -1.113279e+01  -2.119158e+01  -1.150276e+01   3.765288e+01  -6.190837e+01  -2.318311e+01  -6.121197e+01   1.340400e+01   5.905635e+02  -2.617457e+02   4.551794e-03  -1.216903e+03   1.023217e+03  -4.858536e-03  -8.176759e+02   7.697388e+02   9.127580e-03   8.180840e-01   5.136444e-01  -2.586657e-01  -5.478736e-01   5.593263e-01  -6.220841e-01  -1.748515e-01   6.506332e-01   7.389881e-01   1.292812e+03   9.386854e+02   8.590198e-03  -9.093134e+02   4.789643e-03   5.559203e-03   1.249106e+06   8.539901e+05  -4.999362e-01  -1.014565e+06   5.685445e-01   4.315521e-01   7.010318e+05   1.384175e+06  -4.530078e+02  -2.621848e+03  -3.699867e+03  -1.090530e+03   1.295432e+03   3.115068e+03  -2.258241e+03   4.517482e+03   3.557862e-02   7.272540e-03  -2.350731e-02  -6.757624e-02   4.338289e-02  -1.492280e-01  -4.249979e-02  -2.441915e-03   1.185574e-02   3.557862e-02   4.338289e-02   1.185574e-02  -3.015185e-02  -3.300355e-02  -7.583497e-02   3.742439e-02   9.496240e-03  -7.339305e-02   5.932138e+02   6.225503e+01   1.386988e+02   1.054475e+02   2.050901e+03   2.050901e+03   1.803932e-01   1.370660e-01   1.172800e-01  -3.396445e+02   9.349521e+01  -3.951783e+02  -3.363884e+02  -2.873668e+02  -4.660675e-01  -6.748342e-01   5.721712e-01   2.661377e-01   5.098195e-01   8.180799e-01  -8.437723e-01   5.335568e-01  -5.801147e-02   2.815465e+01   3.077594e+01   4.610192e+01   6.180586e-01  -6.289375e-01  -4.716367e-01  -7.252364e-01  -2.246455e-01  -6.508199e-01   3.033740e-01   7.442930e-01  -5.949724e-01  -6.890659e-02   5.453286e-02   1.051910e-01   3.929189e-01   5.847870e-01   7.096752e-01   9.184670e-01  -2.117276e-01  -3.340507e-01   4.509071e-02  -7.830681e-01   6.202993e-01
   1.500000e-02   1.500000e-02   1.575983e-02   1.193231e+03   1.220861e+00   3.295687e-01   3.120910e-01   3.583403e-01  -1.015339e-02  -9.363665e-03  -6.333302e-03  -7.722391e+01  -7.537298e+01  -1.002283e+02   5.029490e-01   1.204581e+01   4.094661e+00  -2.811413e+00   1.026340e+01   5.773342e-01   1.677336e+00   2.170854e+00   7.118479e+00  -2.811430e+00   1.546883e+00   1.494530e+00   1.807814e+00   1.026344e+01   6.993559e+00   2.847204e+00   7.243475e+00   5.773499e-01  -2.811453e+00   1.546883e+00   1.494533e+00   1.807814e+00   1.026342e+01   6.993561e+00   2.847207e+00   7.243476e+00   5.773207e-01  -6.868624e+02   6.663999e+02  -2.046772e-02  -8.595599e+02   5.223412e+02  -1.319020e-02   4.212961e+02  -3.533681e+02   1.196912e-02  -9.087298e-02   9.288243e-01   3.592039e-01  -9.737723e-01  -1.584258e-01   1.633060e-01   2.085898e-01  -3.349427e-01   9.188600e-01   9.873109e+02   6.545742e+02   1.491818e-03  -6.429081e+02   1.720085e-02  -2.093021e-02   6.940563e+05   4.208986e+05  -4.996319e-01  -5.277906e+05   1.521941e+01  -1.237949e+01   3.716515e+05   7.310363e+05  -2.902506e+04  -5.996427e+03  -1.898866e+05  -1.319334e+04  -7.424002e+04  -3.374521e+04  -7.496936e+04   1.499397e+05  -1.081383e-07  -2.557584e-08   2.730819e-08   2.595950e-07   3.053506e-07   4.342757e-07   1.318815e-07  -8.191925e-11   9.414221e-08  -1.081383e-07   3.053506e-07   9.414221e-08   1.170096e-07   7.959487e-08   2.170969e-07  -1.425854e-07  -5.228668e-08   2.171788e-07   1.483731e+02   1.519712e+01   1.519720e+01   1.519719e+01   1.493289e+03   1.493289e+03   6.233564e-07   4.981073e-07   3.747830e-07  -8.427508e+01   3.258177e+01  -1.058014e+02  -7.602600e+01  -7.099784e+01  -3.840071e-01  -1.169023e-01   9.158998e-01  -4.664240e-01   8.806441e-01  -8.315415e-02  -7.968608e-01  -4.591294e-01  -3.926997e-01  -4.937539e+00  -1.665488e+00   1.463235e+01   6.998593e-01   2.377274e-01  -6.735597e-01  -6.943865e-01   4.474469e-01  -5.635766e-01   1.674046e-01   8.621351e-01   4.782246e-01  -1.426800e-07  -4.140132e-08   4.754359e-07   9.705791e-01  -1.716696e-01  -1.688363e-01   5.004139e-02  -5.420731e-01   8.388400e-01   2.355250e-01   8.226094e-01   5.175342e-01
