     VARIABLES=
              x              y              z      nomin_den    nomin_voidr      fabric_xx      fabric_yy      fabric_zz      fabric_xy      fabric_xz      fabric_yz       sigma_xx       sigma_yy       sigma_zz       sigma_xy       sigma_xz       sigma_yz    sigmaDot_xx    sigmaDot_yy    sigmaDot_zz    sigmaDot_xy    sigmaDot_xz    sigmaDot_yz       Oldro_xx       Oldro_xy       Oldro_xz       Oldro_yx       Oldro_yy       Oldro_yz       Oldro_zx       Oldro_zy       Oldro_zz       Trues_xx       Trues_xy       Trues_xz       Trues_yx       Trues_yy       Trues_yz       Trues_zx       Trues_zy       Trues_zz           F_xX           F_xY           F_xZ           F_yX           F_yY           F_yZ           F_zX           F_zY           F_zZ           R_xX           R_xY           R_xZ           R_yX           R_yY           R_yZ           R_zX           R_zY           R_zZ           U_xX           U_yY           U_zZ           U_xY           U_xZ           U_yZ       Green_xx       Green_yy       Green_zz       Green_xy       Green_xz       Green_yz      Green_vol      Green_shr       Euler_xx       Euler_yy       Euler_zz       Euler_xy       Euler_xz       Euler_yz      Euler_vol      Euler_shr           l_xx           l_xy           l_xz           l_yx           l_yy           l_yz           l_zx           l_zy           l_zz           d_xx           d_yy           d_zz           d_xy           d_xz           d_yz           w_xy           w_xz           w_yz     norm_sigma  norm_sigmaDot     norm_Oldro     norm_Trues         norm_F         norm_U         norm_l         norm_d         norm_w              p              q        sigma_1        sigma_2        sigma_3     sigma_1_v1     sigma_1_v2     sigma_1_v3     sigma_2_v1     sigma_2_v2     sigma_2_v3     sigma_3_v1     sigma_3_v2     sigma_3_v3     sigmaDot_1     sigmaDot_2     sigmaDot_3  sigmaDot_1_v1  sigmaDot_1_v2  sigmaDot_1_v3  sigmaDot_2_v1  sigmaDot_2_v2  sigmaDot_2_v3  sigmaDot_3_v1  sigmaDot_3_v2  sigmaDot_3_v3            d_1            d_2            d_3         d_1_v1         d_1_v2         d_1_v3         d_2_v1         d_2_v2         d_2_v3         d_3_v1         d_3_v2         d_3_v3
ZONE I=2, J=2, K=2, DATAPACKING=POINT, STRANDID=5, SOLUTIONTIME=62
   5.000000e-03   5.000000e-03   5.253276e-03   1.575477e+03   6.820305e-01   3.406623e-01   3.072933e-01   3.520444e-01   6.655460e-03  -4.424946e-04   6.115039e-04  -3.166697e+02  -2.444596e+02  -3.729420e+02  -2.421915e+01   2.403441e+01  -2.608420e+01   1.259082e+01  -1.298013e+01  -2.058108e+00   8.439347e+00   2.303133e+00  -3.468974e+00   1.348139e+01   1.023809e+01   9.745767e-01   7.592926e+00  -1.283909e+01  -2.764395e+00   3.543257e+00  -4.261707e+00  -2.059702e+00   1.298818e+01   1.020037e+01   1.012010e+00   7.555205e+00  -1.321984e+01  -2.805021e+00   3.580690e+00  -4.302333e+00  -2.640554e+00   5.034542e+02  -8.519755e+02  -2.730260e-03  -3.387327e+02  -1.008787e+03   2.789441e-03  -8.276140e+01   1.700814e+02   1.989752e-02   7.728862e-01  -6.101072e-01   1.744023e-01  -6.220898e-01  -7.827227e-01   1.869193e-02  -1.251046e-01   1.229406e-01   9.844970e-01   6.101889e+02   1.330307e+03   1.916503e-02  -5.220196e+01  -6.334734e-03   1.928606e-03   1.875272e+05   8.862199e+05  -4.997944e-01  -5.064884e+04  -1.983091e+00   1.448180e+00   3.579156e+05   5.424464e+05  -4.090965e+01   2.466093e-02  -1.318916e+03  -4.436619e+00  -2.337446e+02  -2.504334e+01  -4.532670e+02   9.075341e+02   1.386774e-03   1.932993e-04  -6.039729e-05   1.236146e-03   1.717219e-04  -5.362689e-05   2.054097e-05   2.789102e-06  -1.008053e-06   1.386774e-03   1.717219e-04  -1.008053e-06   7.147224e-04  -1.992816e-05  -2.541890e-05  -5.214231e-04  -4.046913e-05  -2.820800e-05   5.502864e+02   2.272198e+01   2.350770e+01   2.349003e+01   1.465434e+03   1.465434e+03   1.877500e-03   1.725217e-03   7.406963e-04  -3.113571e+02   1.340824e+02  -3.838616e+02  -3.203821e+02  -2.298277e+02  -2.934180e-01   1.263326e-01   9.476001e-01  -9.014193e-01  -3.666527e-01  -2.302369e-01   3.183537e-01  -9.217407e-01   2.214611e-01  -1.656224e+01  -6.866073e-01   1.480143e+01   2.619538e-01  -9.073963e-01  -3.286521e-01  -6.142839e-02  -3.555302e-01   9.326440e-01   9.631234e-01   2.241211e-01   1.488724e-01  -1.601533e-04  -1.263273e-07   1.717768e-03   4.166546e-01  -9.043697e-01  -9.227367e-02   5.386536e-02  -7.676483e-02   9.955931e-01   9.074676e-01   4.197889e-01  -1.672977e-02
   5.000000e-03   5.000000e-03   1.575983e-02   1.087368e+03   1.437076e+00   3.564787e-01   3.196542e-01   3.238671e-01  -1.130125e-02   2.350287e-02   3.392486e-04  -6.731030e+01  -7.668392e+01  -1.060264e+02   8.037752e+00   7.575909e-01   1.509890e+00   2.118675e+01   3.681289e+00   7.558327e+00  -4.878191e-01  -1.205365e+01  -3.732526e+00   2.118684e+01  -3.065991e+00  -9.824771e+00   2.090307e+00   3.681280e+00  -3.278812e+00  -1.428266e+01  -4.186170e+00   7.558354e+00   2.118679e+01  -3.065986e+00  -9.824770e+00   2.090313e+00   3.681227e+00  -3.278811e+00  -1.428266e+01  -4.186169e+00   7.558281e+00   4.045325e+02  -1.217120e+03   1.976895e-02  -1.073970e+03   1.174091e+03  -1.298042e-03  -1.136228e+02  -8.644495e+02   2.675489e-02   6.245681e-03  -6.724523e-01  -7.401141e-01  -8.660895e-01   3.663227e-01  -3.401420e-01  -4.998499e-01  -6.431295e-01   5.801160e-01   9.894754e+02   1.804504e+03   1.331182e-03  -5.923744e+02  -1.212574e-02  -3.097603e-02   6.649840e+05   1.803571e+06  -4.994458e-01  -8.275411e+05   3.175638e+00  -2.435673e+01   8.228515e+05   1.422080e+06  -1.548556e+05  -3.270858e+04  -9.512429e+04  -7.117023e+04   1.213699e+05   5.578033e+04  -9.422950e+04   1.884600e+05   6.410395e-07  -8.215521e-08  -2.576054e-07  -1.792141e-07  -7.559268e-08   3.304463e-07  -5.296720e-07  -6.131426e-08   1.245534e-07   6.410395e-07  -7.559268e-08   1.245534e-07  -1.306847e-07  -3.936387e-07   1.345660e-07   4.852946e-08   1.360333e-07   1.958803e-07   1.476063e+02   2.936189e+01   2.936200e+01   2.936194e+01   2.221961e+03   2.221961e+03   9.648283e-07   9.013519e-07   3.441780e-07  -8.334022e+01   3.776599e+01  -1.061072e+02  -8.126655e+01  -6.264693e+01   9.416845e-03   4.868156e-02  -9.987700e-01  -5.002476e-01   8.650722e-01   3.744838e-02   8.658312e-01   4.992796e-01   3.249908e-02  -2.487903e+00   4.122246e+00   3.079202e+01  -4.495239e-01  -3.922588e-01  -8.025343e-01   3.286338e-01  -9.080368e-01   2.597480e-01   8.306191e-01   1.469769e-01  -5.370937e-01  -1.548089e-07  -4.214805e-08   8.869571e-07   1.851188e-01  -7.576862e-01   6.258136e-01  -4.756658e-01  -6.263351e-01  -6.176134e-01   8.599262e-01  -1.833463e-01  -4.763518e-01
   5.000000e-03   1.500000e-02   5.253276e-03   1.524977e+03   7.377309e-01   3.310356e-01   3.223820e-01   3.465824e-01  -4.733278e-04   1.713580e-03   1.541185e-02  -2.983420e+02  -2.536816e+02  -2.910615e+02  -7.123537e+00   2.962707e+01  -3.484169e+01  -3.683911e+00   8.932110e-01  -2.700010e+00   5.840161e-01  -2.153509e-01   1.652349e-01  -4.305299e+00   1.778727e+00  -8.234854e-01   1.125531e+00   9.642560e-01   3.845789e-01  -3.727695e-01   2.067966e-01  -2.675434e+00  -3.948195e+00   1.787254e+00  -8.589479e-01   1.134057e+00   1.267904e+00   4.262833e-01  -4.082320e-01   2.485007e-01  -2.327044e+00  -4.851229e+02   4.748453e+01  -1.251557e+00  -3.665858e+02   1.904556e+02  -1.065121e+00  -5.600455e+02  -5.988013e+02  -5.651335e-01  -6.540526e-01   2.627218e-01  -7.093606e-01  -5.545864e-01   4.711988e-01   6.858612e-01  -5.144405e-01  -8.419911e-01   1.624869e-01   8.087095e+02   6.064030e+02   6.545270e-02   1.713662e+02   1.700013e+00  -3.548578e-01   3.416897e+05   1.985451e+05   1.010127e+00   1.212509e+05   6.570588e+02   3.805737e+01   1.800786e+05   2.426129e+05  -6.679761e+01  -6.309892e+01  -3.056892e+00   6.542213e+01   1.547159e+01  -1.504043e+01  -4.431781e+01   8.963561e+01  -1.179144e-03  -6.288775e-05  -1.402164e-03   3.233676e-03  -5.745418e-05   7.767234e-04  -2.097180e-05   3.757553e-06   3.963423e-05  -1.179144e-03  -5.745418e-05   3.963423e-05   1.585394e-03  -7.115677e-04   3.902405e-04  -1.648282e-03  -6.905959e-04   3.864829e-04   4.923047e+02   4.776955e+00   5.662312e+00   5.314060e+00   1.039459e+03   1.039459e+03   3.798115e-03   2.781983e-03   2.585778e-03  -2.810283e+02   9.027592e+01  -3.296865e+02  -2.873728e+02  -2.260257e+02  -6.265249e-01   2.755004e-01   7.290858e-01  -7.180003e-01  -5.679416e-01  -4.023902e-01  -3.032195e-01   7.755913e-01  -5.536389e-01  -3.698376e+00  -2.701611e+00   9.092762e-01  -9.984211e-01   5.587910e-02   5.734601e-03  -4.535796e-03   2.155680e-02  -9.997573e-01  -5.598916e-02  -9.982048e-01  -2.126930e-02  -2.551139e-03   2.807130e-04   1.073462e-03   7.839533e-01  -5.449496e-01   2.974005e-01  -1.775411e-01   2.622428e-01   9.485293e-01  -5.948918e-01  -7.964035e-01   1.088352e-01
   5.000000e-03   1.500000e-02   1.575983e-02   1.197247e+03   1.213411e+00   3.401861e-01   3.264953e-01   3.333186e-01   1.685123e-02   1.968990e-02   1.235339e-03  -1.011576e+02  -8.799720e+01  -1.335940e+02  -1.029934e+01  -9.149631e+00  -1.339259e+00   1.634822e+00   2.063032e+00   2.177910e-01   4.850120e-01   9.992198e-01   5.576021e-01   1.634834e+00   8.449767e-01   1.114988e+00   1.250440e-01   2.063037e+00   4.548986e-01   8.834570e-01   6.603051e-01   2.177940e-01   1.634824e+00   8.449756e-01   1.114987e+00   1.250429e-01   2.063028e+00   4.548985e-01   8.834560e-01   6.603049e-01   2.177804e-01  -5.269541e+02  -1.387610e+02  -2.412562e-02  -8.112952e+02   1.195252e+03   6.193191e-03   4.251928e+02  -6.319179e+02   1.805677e-02  -8.719995e-01  -4.894774e-01  -5.357481e-03  -4.350350e-01   7.699005e-01   4.669024e-01   2.244134e-01  -4.094693e-01   8.842926e-01   9.078645e+02   1.246897e+03   1.898834e-02  -5.407879e+02   2.239546e-02   9.183394e-03   5.583342e+05   9.236008e+05  -4.995268e-01  -5.826343e+05   7.683099e+00  -3.301375e-01   4.939782e+05   8.608746e+05   4.608722e-01  -3.018399e+02  -1.084025e+03   3.439377e+00   6.514061e+00  -5.726215e+02  -4.618015e+02   9.246030e+02   5.930034e-08  -1.881415e-08   7.259661e-08  -1.101127e-09   2.619648e-08  -9.968335e-08  -9.447996e-08   1.591496e-07   1.640874e-08   5.930034e-08   2.619648e-08   1.640874e-08  -9.957637e-09  -1.094168e-08   2.973310e-08  -8.856510e-09   8.353829e-08  -1.294165e-07   1.902811e+02   3.220624e+00   3.220635e+00   3.220622e+00   1.721590e+03   1.721590e+03   2.330006e-07   8.171840e-08   2.182004e-07  -1.075829e+02   4.719025e+01  -1.363294e+02  -1.042794e+02  -8.214002e+01   2.740262e-01   8.494963e-02   9.579630e-01  -8.217055e-01  -4.968867e-01   2.791122e-01   4.997095e-01  -8.636476e-01  -6.635639e-02  -3.319496e-01   1.730592e+00   2.517002e+00  -3.871232e-01  -2.262240e-01   8.938447e-01  -7.608310e-01   6.259929e-01  -1.710820e-01   5.208376e-01   7.462946e-01   4.144546e-01  -8.886276e-09   4.020519e-08   7.058664e-08   2.935227e-02  -6.414063e-01   7.666397e-01  -6.076454e-01  -6.204303e-01  -4.958158e-01   7.936659e-01  -4.512918e-01  -4.079586e-01
   1.500000e-02   5.000000e-03   5.253276e-03   1.713035e+03   5.469623e-01   3.321787e-01   3.199365e-01   3.478848e-01   4.594629e-03  -1.141662e-02   2.029018e-02  -2.894268e+02  -2.592933e+02  -3.701839e+02   1.831408e+01  -3.993880e+00  -4.835113e+01   1.015137e+02  -9.371321e+01   8.407790e+01   1.030149e+02  -1.336214e+02  -8.843430e+01   1.015110e+02   1.433320e+02  -8.499394e+01   6.274374e+01  -9.370851e+01   2.705068e+01  -1.822032e+02  -2.039065e+02   8.407588e+01   1.015102e+02   1.433321e+02  -8.499395e+01   6.274379e+01  -9.370922e+01   2.705054e+01  -1.822032e+02  -2.039066e+02   8.407486e+01  -7.210093e+00  -1.216942e+02  -2.038566e-02  -1.149860e+03   4.504068e+02   1.727950e-03   1.262936e+03  -8.441853e+02   1.515202e-02  -2.039282e-01  -4.245218e-01  -8.821533e-01  -8.860292e-01  -3.032081e-01   3.507381e-01   4.163720e-01  -8.531390e-01   3.143060e-01   1.546131e+03   6.353022e+02   2.335171e-02  -7.257518e+02   8.935071e-03  -4.796544e-03   1.458618e+06   4.651618e+05  -4.996759e-01  -7.915896e+05   8.648050e+00  -4.766005e+00   6.412598e+05   1.255263e+06  -7.130471e+02  -1.123001e+02  -9.007946e+01   2.837044e+02   2.542296e+02  -1.010810e+02  -3.051422e+02   6.112844e+02  -3.840292e-07   7.991650e-05   5.155795e-05  -5.770165e-07   7.493106e-06   8.148305e-06   4.911400e-07   1.243651e-05  -4.363559e-06  -3.840292e-07   7.493106e-06  -4.363559e-06   3.966974e-05   2.602454e-05   1.029241e-05   4.024676e-05   2.553340e-05  -2.144104e-06   5.416783e+02   3.652037e+02   3.651944e+02   3.651942e+02   1.961520e+03   1.961520e+03   9.665319e-05   6.920356e-05   6.747375e-05  -3.063013e+02   1.338976e+02  -3.883752e+02  -2.956633e+02  -2.348655e+02   2.784903e-02  -3.540569e-01  -9.348091e-01  -9.462893e-01   2.920163e-01  -1.387916e-01   3.221197e-01   8.884651e-01  -3.269079e-01  -2.358813e+02  -2.879146e+01   3.565512e+02  -1.784646e-01  -7.805416e-01  -5.990870e-01  -7.828664e-01   4.814704e-01  -3.940894e-01   5.960458e-01   3.986741e-01  -6.969852e-01  -4.147318e-05  -1.022841e-05   5.444711e-05   7.556223e-01  -5.317807e-01  -3.824189e-01   3.145780e-02  -5.537024e-01   8.321202e-01   6.542518e-01   6.407986e-01   4.016613e-01
   1.500000e-02   5.000000e-03   1.575983e-02   1.115058e+03   1.376559e+00   3.330019e-01   3.613500e-01   3.056481e-01   1.096332e-02   3.956546e-03   2.199395e-03  -1.119535e+02  -1.198043e+02  -1.336942e+02  -1.468299e+00   9.206791e-01   1.517388e+01  -5.908585e+00  -2.409355e+00  -1.022176e+01   8.451245e-01   1.204342e+01  -1.189201e+01  -5.908641e+00  -5.958219e+00   1.424994e+01   7.648449e+00  -2.409442e+00  -2.041198e+01   9.836923e+00  -3.371912e+00  -1.022150e+01  -5.908693e+00  -5.958219e+00   1.424994e+01   7.648449e+00  -2.409498e+00  -2.041197e+01   9.836923e+00  -3.371905e+00  -1.022156e+01  -1.124083e+03   1.271325e+03   1.067151e+01   5.422837e+02  -2.595664e+02  -1.056540e+01   1.155394e+03   5.020246e+02   3.861076e+00  -5.138166e-01   8.180652e-01  -2.583831e-01   3.000325e-01  -1.108089e-01  -9.474713e-01   8.037244e-01   5.643499e-01   1.885106e-01   1.668894e+03   1.352107e+03   7.980928e+00  -3.276168e+02  -5.549920e+00   1.207973e+01   1.446285e+06   9.678349e+05   1.197083e+02  -4.948989e+05  -6.632022e+03   9.123867e+03   8.047466e+05   1.024922e+06   4.994273e-01   4.927722e-01   4.997233e-01  -2.034181e-03   3.976824e-04   1.413318e-03   4.973076e-01   5.384272e-03  -2.520725e-07  -1.596492e-07  -4.468696e-07   3.540413e-08  -3.771816e-07  -1.261890e-07   5.952573e-07   8.154757e-07   1.095200e-06  -2.520725e-07  -3.771816e-07   1.095200e-06  -6.212255e-08   7.419383e-08   3.446434e-07  -9.752668e-08  -5.210635e-07  -4.708323e-07   2.126671e+02   3.109738e+01   3.109727e+01   3.109730e+01   2.197381e+03   2.197381e+03   1.633083e-06   1.289014e-06   1.002698e-06  -1.218173e+02   3.260897e+01  -1.435147e+02  -1.121374e+02  -1.097998e+02  -4.964875e-02  -5.405437e-01   8.398497e-01  -9.411521e-01  -2.561492e-01  -2.205000e-01  -3.343168e-01   8.013738e-01   4.960164e-01  -2.117431e+01  -2.332833e+00   4.967438e+00  -6.278388e-01   3.781511e-01   6.803089e-01  -2.797770e-01   7.059855e-01  -6.506222e-01  -7.263218e-01  -5.988207e-01  -3.374471e-01  -4.799519e-07  -2.284213e-07   1.174319e-06   3.218393e-01   9.216352e-01  -2.168133e-01  -9.458894e-01   3.229972e-01  -3.108115e-02   4.138461e-02   2.150845e-01   9.757182e-01
   1.500000e-02   1.500000e-02   5.253276e-03   1.596827e+03   6.595413e-01   3.125569e-01   3.301338e-01   3.573093e-01  -2.473719e-03   1.028381e-02   2.188484e-02  -3.143249e+02  -3.491791e+02  -3.555717e+02  -4.057329e+01   1.809541e+01   2.116139e+01  -1.829322e+01  -3.521295e+01  -2.698426e+01  -3.206988e+00   5.492835e+00  -2.641350e-01  -4.212010e+01  -7.076236e+01   2.251432e+01  -7.213630e+01  -7.348904e+01   2.651516e+01   2.193386e+01   2.546541e+01  -3.579533e+01  -1.845152e+01  -6.770729e+01   2.115176e+01  -6.908105e+01  -4.719594e+01   2.492158e+01   2.057126e+01   2.387210e+01  -9.020869e+00   6.127545e+02  -2.838350e+02   4.730083e-03  -1.115011e+03   9.212474e+02  -3.909085e-03  -7.782551e+02   7.302951e+02   9.525178e-03   8.303935e-01   4.827457e-01  -2.782144e-01  -5.332839e-01   5.439541e-01  -6.478598e-01  -1.614156e-01   6.863458e-01   7.091364e-01   1.229067e+03   8.653311e+02   7.971212e-03  -8.448622e+02   4.474969e-03   6.694630e-03   1.112199e+06   7.312945e+05  -4.999358e-01  -8.847390e+05  -7.798333e-02   1.006196e+00   6.144976e+05   1.212293e+06  -6.088174e+02  -3.302659e+03  -3.956792e+03  -1.418687e+03   1.552819e+03   3.615462e+03  -2.622756e+03   5.246512e+03  -3.753318e-02   5.956217e-03   1.975589e-02  -2.107644e-01  -2.682047e-02   5.772249e-02   2.850560e-02  -1.136657e-04  -1.094608e-02  -3.753318e-02  -2.682047e-02  -1.094608e-02  -1.024041e-01   2.413074e-02   2.880441e-02   1.083603e-01  -4.374853e-03   2.891808e-02   5.932961e+02   4.884115e+01   1.449363e+02   1.186056e+02   1.920153e+03   1.920153e+03   2.263621e-01   1.613849e-01   1.587284e-01  -3.396919e+02   9.350344e+01  -3.952153e+02  -3.364693e+02  -2.873912e+02  -4.663038e-01  -6.742150e-01   5.727084e-01   2.666112e-01   5.101910e-01   8.176941e-01  -8.434923e-01   5.339843e-01  -5.815074e-02  -3.608146e+01  -2.929308e+01  -1.511589e+01   2.261444e-01   9.730566e-01  -4.493870e-02  -3.853396e-01   1.317353e-01   9.133231e-01   8.946352e-01  -1.892262e-01   4.047485e-01  -1.451148e-01  -7.973387e-04   7.061245e-02  -6.950829e-01  -6.670235e-01   2.682151e-01   2.342681e-01   1.425682e-01   9.616615e-01  -6.796897e-01   7.312687e-01   5.716563e-02
   1.500000e-02   1.500000e-02   1.575983e-02   1.193231e+03   1.220861e+00   3.295687e-01   3.120910e-01   3.583403e-01  -1.015338e-02  -9.363665e-03  -6.333302e-03  -7.723139e+01  -7.540693e+01  -1.002050e+02   4.754990e-01   1.206372e+01   4.089030e+00  -2.593869e-01   3.789300e+00  -3.459254e-01   1.034055e+00   4.056924e+00   5.220812e+00  -2.593963e-01   8.881043e-01   3.536538e+00   1.179983e+00   3.789343e+00   4.520645e+00   4.577345e+00   5.921029e+00  -3.459369e-01  -2.594121e-01   8.881044e-01   3.536541e+00   1.179983e+00   3.789327e+00   4.520646e+00   4.577347e+00   5.921030e+00  -3.459573e-01  -6.868624e+02   6.663999e+02  -2.046772e-02  -8.595599e+02   5.223412e+02  -1.319020e-02   4.212961e+02  -3.533681e+02   1.196912e-02  -9.087297e-02   9.288243e-01   3.592039e-01  -9.737723e-01  -1.584258e-01   1.633060e-01   2.085898e-01  -3.349427e-01   9.188600e-01   9.873109e+02   6.545742e+02   1.491818e-03  -6.429081e+02   1.720085e-02  -2.093021e-02   6.940563e+05   4.208986e+05  -4.996319e-01  -5.277906e+05   1.521941e+01  -1.237949e+01   3.716515e+05   7.310363e+05  -2.902843e+04  -5.997124e+03  -1.899086e+05  -1.319487e+04  -7.424862e+04  -3.374913e+04  -7.497806e+04   1.499571e+05  -4.344707e-08  -2.165060e-07   1.208510e-07   8.889958e-08   2.896136e-07   9.238846e-08   4.289438e-08   2.403832e-07  -4.252891e-08  -4.344707e-08   2.896136e-07  -4.252891e-08  -6.380321e-08   8.187272e-08   1.663858e-07  -1.527028e-07   3.897833e-08  -7.399738e-08   1.483809e+02   1.028008e+01   1.028013e+01   1.028013e+01   1.493289e+03   1.493289e+03   4.744629e-07   4.055723e-07   2.462237e-07  -8.428110e+01   3.256482e+01  -1.057972e+02  -7.602922e+01  -7.101684e+01  -3.847072e-01  -1.171710e-01   9.155716e-01  -4.613951e-01   8.835075e-01  -8.080254e-02  -7.994467e-01  -4.535255e-01  -3.939538e-01  -6.345911e+00   9.210836e-02   9.437790e+00   5.034217e-01   3.914026e-01  -7.703056e-01  -7.807642e-01   5.879343e-01  -2.115195e-01   3.700997e-01   7.079105e-01   6.015720e-01  -1.836741e-07   2.670155e-08   3.606102e-07   5.844911e-01   3.381010e-01  -7.376027e-01   8.082159e-01  -1.621396e-01   5.661252e-01  -7.181293e-02   9.270375e-01   3.680278e-01
