     VARIABLES=
              x              y              z      nomin_den    nomin_voidr      fabric_xx      fabric_yy      fabric_zz      fabric_xy      fabric_xz      fabric_yz       sigma_xx       sigma_yy       sigma_zz       sigma_xy       sigma_xz       sigma_yz    sigmaDot_xx    sigmaDot_yy    sigmaDot_zz    sigmaDot_xy    sigmaDot_xz    sigmaDot_yz       Oldro_xx       Oldro_xy       Oldro_xz       Oldro_yx       Oldro_yy       Oldro_yz       Oldro_zx       Oldro_zy       Oldro_zz       Trues_xx       Trues_xy       Trues_xz       Trues_yx       Trues_yy       Trues_yz       Trues_zx       Trues_zy       Trues_zz           F_xX           F_xY           F_xZ           F_yX           F_yY           F_yZ           F_zX           F_zY           F_zZ           R_xX           R_xY           R_xZ           R_yX           R_yY           R_yZ           R_zX           R_zY           R_zZ           U_xX           U_yY           U_zZ           U_xY           U_xZ           U_yZ       Green_xx       Green_yy       Green_zz       Green_xy       Green_xz       Green_yz      Green_vol      Green_shr       Euler_xx       Euler_yy       Euler_zz       Euler_xy       Euler_xz       Euler_yz      Euler_vol      Euler_shr           l_xx           l_xy           l_xz           l_yx           l_yy           l_yz           l_zx           l_zy           l_zz           d_xx           d_yy           d_zz           d_xy           d_xz           d_yz           w_xy           w_xz           w_yz     norm_sigma  norm_sigmaDot     norm_Oldro     norm_Trues         norm_F         norm_U         norm_l         norm_d         norm_w              p              q        sigma_1        sigma_2        sigma_3     sigma_1_v1     sigma_1_v2     sigma_1_v3     sigma_2_v1     sigma_2_v2     sigma_2_v3     sigma_3_v1     sigma_3_v2     sigma_3_v3     sigmaDot_1     sigmaDot_2     sigmaDot_3  sigmaDot_1_v1  sigmaDot_1_v2  sigmaDot_1_v3  sigmaDot_2_v1  sigmaDot_2_v2  sigmaDot_2_v3  sigmaDot_3_v1  sigmaDot_3_v2  sigmaDot_3_v3            d_1            d_2            d_3         d_1_v1         d_1_v2         d_1_v3         d_2_v1         d_2_v2         d_2_v3         d_3_v1         d_3_v2         d_3_v3
ZONE I=2, J=2, K=2, DATAPACKING=POINT, STRANDID=5, SOLUTIONTIME=52
   5.128955e-03   5.127543e-03   4.897149e-03   1.580483e+03   6.767028e-01   3.952127e-01   3.195291e-01   2.760839e-01  -1.606428e-02  -3.564032e-02   1.737540e-02  -1.729229e+03  -1.969683e+03  -8.570534e+02   2.235219e+02   3.739573e+02  -3.819924e+02   4.686271e+05   2.800500e+05  -1.709136e+05  -1.189355e+04  -3.693703e+04   3.526260e+05   4.685585e+05  -2.810590e+05  -7.171429e+04   2.571605e+05   2.801921e+05   3.076798e+05  -2.150050e+03   3.976120e+05  -1.709150e+05   4.685376e+05  -2.810562e+05  -7.170970e+04   2.571632e+05   2.801683e+05   3.076752e+05  -2.145592e+03   3.976073e+05  -1.709254e+05   1.032490e+00   1.528618e-02   2.286594e-02   1.027117e-02   9.875666e-01  -2.330113e-03   4.465352e-03   4.963596e-03   1.021843e+00   9.999567e-01   2.468281e-03   8.973272e-03  -2.435332e-03   9.999903e-01  -3.681018e-03  -8.982270e-03   3.659005e-03   9.999530e-01   1.032381e+00   9.876128e-01   1.022009e+00   1.283588e-02   1.369215e-02   1.465280e-03   3.308099e-02  -1.222699e-02   2.234621e-02   1.297423e-02   1.407391e-02   1.560204e-03   1.440007e-02   3.520225e-02   3.067891e-02  -1.293700e-02   2.082835e-02   1.230752e-02   1.257763e-02   9.302028e-04   1.285675e-02   3.334234e-02  -2.027440e-02   8.725759e-03  -7.346052e-03  -3.942267e-02   3.199014e-02  -1.984219e-03  -1.378906e-04  -2.793559e-03   3.813645e-04  -2.027440e-02   3.199014e-02   3.813645e-04  -1.534845e-02  -3.741971e-03  -2.388889e-03   2.407421e-02  -3.604081e-03   4.046697e-04   2.876802e+03   8.545502e+05   8.545771e+05   8.545556e+05   1.756815e+00   1.756815e+00   5.595155e-02   4.410368e-02   3.443025e-02  -1.518655e+03   1.421989e+03  -2.289394e+03  -1.611291e+03  -6.552807e+02  -5.291296e-01   7.755847e-01   3.442241e-01  -8.029923e-01  -5.887973e-01   9.230986e-02  -2.742723e-01   2.275654e-01  -9.343386e-01  -4.230592e+05   2.813936e+05   7.194290e+05  -1.544792e-01   5.285370e-01  -8.347364e-01  -7.143662e-01   5.238897e-01   4.639187e-01   6.825080e-01   6.679732e-01   2.966389e-01  -2.515251e-02   1.036193e-03   3.621342e-02   9.509702e-01   2.622816e-01   1.639025e-01   1.679195e-01   7.184820e-03  -9.857745e-01  -2.597281e-01   9.649646e-01  -3.720964e-02
   5.128955e-03   5.127543e-03   1.418012e-02   1.584765e+03   6.721719e-01   2.383547e-01   3.436940e-01   4.179514e-01  -2.183864e-03  -3.280912e-02  -3.039726e-03  -4.763774e+02  -9.257473e+02  -8.797522e+02   6.015655e+01   9.495607e+01  -6.524768e+01  -1.231903e+06   2.138859e+05  -5.558229e+05   6.113508e+05  -3.632898e+05  -2.703549e+06  -1.231883e+06  -3.236434e+04  -7.172002e+05   1.255073e+06   2.137879e+05  -5.308763e+05  -9.373902e+03  -4.876301e+06  -5.559264e+05  -1.231841e+06  -3.236922e+04  -7.172085e+05   1.255067e+06   2.138697e+05  -5.308709e+05  -9.382384e+03  -4.876295e+06  -5.558488e+05   3.572232e+00   1.114804e+00  -2.012198e+00   8.272272e-01   1.021718e+00  -6.871360e-01   1.487383e+00   1.489337e+00  -6.307805e-01   8.531587e-01  -1.349927e-01  -5.038821e-01  -3.409580e-01   5.867443e-01  -7.344922e-01   3.948011e-01   7.984410e-01   4.545592e-01   3.352851e+00   1.638145e+00   1.231879e+00   1.190733e+00  -1.731472e+00  -6.351821e-01   7.328727e+00   1.752410e+00   1.959490e+00   3.521372e+00  -4.347333e+00  -1.942355e+00   3.680209e+00   7.751696e+00   3.739123e-01  -4.585019e+00  -2.073844e+00   4.909806e-02   1.828627e-01   3.271060e+00  -2.094983e+00   4.744649e+00   1.670103e-02  -1.456214e-02  -1.342029e-02   2.963159e-02  -4.976467e-02  -1.711686e-02   2.302711e-02  -1.513893e-02  -5.522025e-02   1.670103e-02  -4.976467e-02  -5.522025e-02   7.534724e-03   4.803413e-03  -1.612790e-02  -2.209687e-02  -1.822370e-02  -9.889660e-04   1.375417e+03   5.293647e+06   5.293690e+06   5.293669e+06   5.008119e+00   5.008119e+00   9.015174e-02   8.052720e-02   4.053031e-02  -7.606256e+02   4.879475e+02  -9.987238e+02  -8.335302e+02  -4.496229e+02   2.075348e-01  -7.637604e-01  -6.112278e-01  -8.992331e-02  -6.370813e-01   7.655333e-01   9.740858e-01   1.039112e-01   2.008964e-01  -5.244248e+06  -1.193046e+06   4.863454e+06   2.103667e-01  -6.777873e-01  -7.045213e-01  -9.656914e-01  -3.182347e-02  -2.577350e-01   1.522692e-01   7.345690e-01  -6.612280e-01  -6.969408e-02  -3.626317e-02   1.767336e-02   9.851367e-02  -6.482512e-01  -7.550268e-01   4.803251e-02  -7.547356e-01   6.542684e-01   9.939758e-01   1.007202e-01   4.321464e-02
   5.128955e-03   1.486924e-02   4.897149e-03   1.568639e+03   6.893621e-01   3.211324e-01   3.692090e-01   3.096585e-01  -4.832115e-03  -2.845633e-02  -2.526848e-03  -1.594107e+03  -2.235467e+03  -2.021656e+03   3.324215e+01   3.600699e+01   7.728345e+00   3.496925e+05   1.772880e+06   2.880138e+05   3.840482e+05   1.195531e+06   1.147085e+05   3.496753e+05  -6.595846e+05   5.236611e+05   1.427719e+06   1.772790e+06   1.662966e+05   1.867597e+06   6.315367e+04   2.879755e+05   3.497289e+05  -6.595861e+05   5.236599e+05   1.427718e+06   1.772865e+06   1.662965e+05   1.867595e+06   6.315332e+04   2.880435e+05   1.014593e+00   1.815530e-02   7.670718e-03   5.424025e-03   1.007804e+00   5.519790e-02   2.816747e-02   5.910783e-02   1.017913e+00   9.999258e-01   6.559194e-03  -1.026386e-02  -6.577784e-03   9.999768e-01  -1.778511e-03   1.025195e-02   1.845892e-03   9.999457e-01   1.014771e+00   1.008009e+00   1.017681e+00   1.213081e-02   1.774266e-02   5.712589e-02   1.511099e-02   9.746089e-03   1.962594e-02   1.277576e-02   1.837704e-02   5.796727e-02   1.482767e-02   7.197780e-02   1.363723e-02   2.706011e-03   1.270648e-02   9.695221e-03   1.643092e-02   5.505152e-02   9.683240e-03   6.763993e-02  -3.832448e-03  -1.563258e-03   7.128331e-02   1.439311e-02  -1.976116e-02   2.126896e-02  -2.951346e-02  -1.210767e-02  -1.004059e-02  -3.832448e-03  -1.976116e-02  -1.004059e-02   6.414927e-03   2.088493e-02   4.580642e-03  -7.978185e-03   5.039838e-02   1.668832e-02   3.410403e+03   3.100814e+06   3.100839e+06   3.100893e+06   1.757545e+00   1.757545e+00   8.524628e-02   3.876380e-02   7.592297e-02  -1.950410e+03   5.704598e+02  -2.236542e+03  -2.024303e+03  -1.590385e+03  -2.938695e-02   9.985822e-01  -4.438423e-02  -8.539093e-02   4.173309e-02   9.954731e-01   9.959141e-01   3.304393e-02   8.404345e-02  -1.824585e+06   1.090302e+06   3.144869e+06  -7.241486e-01   2.762980e-01   6.318768e-01  -3.034906e-01   6.950738e-01  -6.517406e-01  -6.192756e-01  -6.637257e-01  -4.194829e-01  -2.812599e-02  -2.141410e-02   1.590589e-02   6.639944e-01  -1.037030e-01  -7.405114e-01   9.334610e-02  -9.710925e-01   2.196948e-01   7.418881e-01   2.149999e-01   6.351197e-01
   5.128955e-03   1.486924e-02   1.418012e-02   1.569396e+03   6.885482e-01   3.000311e-01   2.968156e-01   3.927366e-01   2.368543e-02  -2.783496e-02   1.744621e-02  -1.239572e+03  -1.227182e+03  -2.736546e+03  -1.782921e+02  -7.301679e+01  -1.985928e+02   5.991186e+05   2.264676e+05  -2.581151e+05   6.977363e+05  -2.067290e+04  -3.766204e+06   5.990716e+05  -7.317263e+05  -1.593740e+05   2.127139e+06   2.264394e+05  -1.106244e+05   1.182093e+05  -7.421872e+06  -2.581983e+05   5.991234e+05  -7.317191e+05  -1.593713e+05   2.127147e+06   2.264907e+05  -1.106162e+05   1.182126e+05  -7.421864e+06  -2.580840e+05   9.837413e-01   5.070245e-02  -1.679187e-01   1.325357e-01   9.813529e-01   6.215538e-02   3.121303e-01   3.448921e-02   1.227904e+00   9.766474e-01  -3.261956e-02  -2.123577e-01   3.686635e-02   9.991910e-01   1.606840e-02   2.116618e-01  -2.352202e-02   9.770599e-01   1.031721e+00   9.780939e-01   1.236394e+00   9.299736e-02   9.819458e-02   3.869974e-02   4.136897e-02  -1.659307e-02   2.699047e-01   9.535378e-02   1.131578e-01   4.741597e-02   9.822686e-02   2.505731e-01  -1.783118e-02  -2.945155e-02   1.829428e-01   8.540993e-02   2.502246e-02   4.448942e-02   4.522001e-02   1.794797e-01  -1.978260e-02  -1.193166e-02   4.315134e-02  -1.515060e-02  -9.417388e-03   7.182290e-04  -1.394147e-02  -3.105604e-02  -1.257919e-02  -1.978260e-02  -9.417388e-03  -1.257919e-02  -1.354113e-02   1.460494e-02  -1.516890e-02   1.609472e-03   2.854641e-02   1.588713e-02   3.268721e+03   7.789238e+06   7.789273e+06   7.789268e+06   1.894561e+00   1.894561e+00   6.349469e-02   4.349481e-02   4.625773e-02  -1.734433e+03   1.582385e+03  -2.770349e+03  -1.389123e+03  -1.043828e+03   6.873032e-02   1.377044e-01   9.880858e-01  -7.370687e-01  -6.604476e-01   1.433130e-01   6.723138e-01  -7.381371e-01   5.610486e-02  -7.739975e+06   5.965145e+05   7.710932e+06   1.873329e-01  -6.959004e-01  -6.932742e-01   9.609467e-01  -1.651572e-02   2.762403e-01   2.036856e-01   7.179484e-01  -6.656292e-01  -3.142599e-02  -2.579953e-02   1.544635e-02   8.368602e-01   1.525416e-01  -5.257338e-01  -2.413519e-01  -7.591933e-01  -6.044624e-01   4.913392e-01  -6.327374e-01   5.985224e-01
   1.486971e-02   5.127543e-03   4.897149e-03   1.711032e+03   5.487730e-01   3.789323e-01   3.471734e-01   2.738943e-01  -1.282459e-02  -6.780197e-03  -2.811547e-02  -2.843065e+03  -2.305492e+03  -1.133712e+03   2.438353e+02   6.122590e+00   2.712109e+02   2.898031e+04  -1.570215e+05  -5.976120e+05  -6.962626e+05   1.113104e+05   6.563317e+06   2.913389e+04   1.867991e+04  -8.108448e+05  -1.411592e+06  -1.568611e+05   6.441822e+05   1.033241e+06   1.248240e+07  -5.976860e+05   2.908246e+04   1.868433e+04  -8.108447e+05  -1.411588e+06  -1.569028e+05   6.441870e+05   1.033241e+06   1.248240e+07  -5.977065e+05   1.112574e+00  -6.053086e-01   3.139422e-01  -2.042262e-01   1.906152e+00  -4.246252e-01   6.162335e-03  -6.208338e-02   8.596643e-01   9.854280e-01  -1.205416e-01   1.200058e-01   1.340768e-01   9.846273e-01  -1.119485e-01  -1.046666e-01   1.264071e-01   9.864412e-01   1.068335e+00   1.941967e+00   9.332193e-01  -3.344192e-01   1.624569e-01  -3.472729e-01   1.397836e-01   1.501834e+00   8.944492e-03  -5.315597e-01   2.206505e-01  -5.264015e-01   5.501875e-01   1.312425e+00   3.935980e-02   2.956904e-01  -2.483620e-01  -1.704050e-01   8.373044e-02  -6.118272e-02   2.889606e-02   3.896535e-01   2.759134e-02   7.067845e-03  -1.145400e-02  -7.032932e-02   2.553503e-02  -1.552999e-02  -3.509062e-02  -9.351121e-03  -3.503592e-02   2.759134e-02   2.553503e-02  -3.503592e-02  -3.163074e-02  -2.327231e-02  -1.244055e-02   3.869858e-02   1.181831e-02  -3.089434e-03   3.866487e+03   1.266199e+07   1.266199e+07   1.266199e+07   2.510204e+00   2.510204e+00   9.658247e-02   7.768255e-02   5.738985e-02  -2.094089e+03   1.641541e+03  -2.942071e+03  -2.269193e+03  -1.071004e+03   9.246037e-01  -3.770691e-01   5.410038e-02   3.794305e-01   8.990372e-01  -2.185510e-01  -3.377059e-02  -2.226004e-01  -9.743247e-01  -1.308891e+07   2.495351e+05   1.211372e+07   1.305029e-01   6.958899e-01  -7.061914e-01   9.911668e-01  -7.461232e-02   1.096419e-01  -2.360814e-02   7.142620e-01   6.994801e-01  -4.976670e-02   8.873061e-03   5.898409e-02   3.868765e-01   3.062089e-01   8.698061e-01   5.492204e-01   6.811849e-01  -4.840910e-01  -7.407317e-01   6.649987e-01   9.535827e-02
   1.486971e-02   5.127543e-03   1.418012e-02   1.450950e+03   8.263897e-01   3.730627e-01   3.483522e-01   2.785850e-01   3.152382e-02   1.734858e-02  -3.127172e-03  -3.423834e+02  -2.331384e+02  -2.396074e+02  -2.871746e+01  -8.630916e+01  -6.264065e-01   4.122553e+05   1.786522e+05   2.522144e+05  -4.530542e+05  -2.662476e+05   2.710835e+05   4.122242e+05  -5.332412e+05  -2.436977e+05  -3.728308e+05   1.786306e+05   2.382667e+05  -2.888070e+05   3.039895e+05   2.522097e+05   4.122598e+05  -5.332381e+05  -2.436886e+05  -3.728279e+05   1.786548e+05   2.382668e+05  -2.887982e+05   3.039896e+05   2.522345e+05   1.259818e+00  -4.225392e-01  -4.867479e-01  -1.488218e-01   1.170819e+00   3.671335e-01  -6.663977e-01   4.516217e-03   1.210080e+00   9.807825e-01  -1.738510e-01   8.855199e-02   1.525680e-01   9.663063e-01   2.073045e-01  -1.216084e-01  -1.898104e-01   9.742604e-01   1.293942e+00   1.203971e+00   1.211939e+00  -2.363388e-01  -5.685369e-01   2.096992e-01   5.266876e-01   2.746882e-01   4.180021e-01  -3.547877e-01  -7.371228e-01   3.204909e-01   4.064593e-01   1.024965e+00  -1.386956e-01   6.623870e-02  -6.634999e-02  -2.096114e-01  -4.184682e-01  -3.239579e-02  -4.626895e-02   5.548621e-01  -5.078898e-02  -8.073856e-03   2.437030e-02   2.040256e-02  -4.916515e-02   1.847026e-01  -1.697357e-02  -3.797669e-03  -3.757329e-03  -5.078898e-02  -4.916515e-02  -3.757329e-03   6.164350e-03   3.698363e-03   9.045247e-02  -1.423821e-02   2.067193e-02   9.425014e-02   4.955266e+02   9.903486e+05   9.903409e+05   9.903589e+05   2.332114e+00   2.332114e+00   2.012555e-01   1.465520e-01   1.379358e-01  -2.717097e+02   1.875939e+02  -3.939794e+02  -2.333366e+02  -1.878133e+02   8.658412e-01   1.511499e-01   4.769409e-01   1.577349e-02   9.445534e-01  -3.279788e-01  -5.000701e-01   2.915006e-01   8.154491e-01  -1.273921e+05   3.363943e+04   9.368745e+05  -3.726076e-01  -8.418070e-01   3.905440e-01  -6.459364e-01  -6.689213e-02  -7.604549e-01   6.662805e-01  -5.356179e-01  -5.188293e-01  -1.198168e-01  -5.107326e-02   6.717858e-02  -3.756679e-02   7.887691e-01  -6.135405e-01  -9.976795e-01   5.283988e-03   6.788055e-02   5.678402e-02   6.146668e-01   7.867403e-01
   1.486971e-02   1.486924e-02   4.897149e-03   1.589314e+03   6.673861e-01   3.356952e-01   4.229790e-01   2.413259e-01  -1.194267e-02  -1.711365e-02   1.131475e-02  -7.906579e+02  -8.509982e+02  -5.141707e+02   3.462811e+02   2.979263e+01  -5.038896e+01   3.424176e+05   1.333566e+06  -5.636922e+05  -5.236437e+06   2.504141e+06   5.956778e+06   3.424445e+05  -3.053538e+05   5.835614e+06  -1.016756e+07   1.333626e+06  -1.475319e+06  -8.274340e+05   1.338896e+07  -5.637037e+05   3.424179e+05  -3.053421e+05   5.835615e+06  -1.016755e+07   1.333597e+06  -1.475321e+06  -8.274332e+05   1.338896e+07  -5.637211e+05   9.215831e-01   1.042308e-01  -9.640835e-02  -2.857997e-02   8.397594e-01   2.268266e-01   2.105159e-01  -1.217027e-01   9.486867e-01   9.826556e-01   9.989891e-02  -1.562309e-01  -6.741050e-02   9.772872e-01   2.009118e-01   1.727533e-01  -1.868955e-01   9.670710e-01   9.438927e-01   8.538443e-01   9.780815e-01   2.478984e-02   5.386205e-02   3.473836e-02  -5.277546e-02  -1.345643e-01  -1.962435e-02   2.321834e-02   5.219131e-02   3.248666e-02  -6.898804e-02   1.021002e-01  -8.146072e-02  -1.715594e-01  -3.428260e-02   2.285183e-02   5.192848e-02   7.275631e-02  -9.576756e-02   1.335515e-01   1.829403e-02   2.734487e-03   2.689837e-03  -6.560320e-03   3.101719e-02   2.505003e-02  -6.281349e-02   7.890300e-03  -1.562820e-02   1.829403e-02   3.101719e-02  -1.562820e-02  -1.912917e-03  -3.006183e-02   1.647017e-02   4.647403e-03   3.275167e-02   8.579866e-03   1.363985e+03   1.794059e+07   1.794062e+07   1.794061e+07   1.608127e+00   1.608127e+00   7.895584e-02   6.243602e-02   4.832978e-02  -7.186089e+02   6.803115e+02  -1.171308e+03  -5.161845e+02  -4.683345e+02   6.719827e-01  -7.361377e-01  -8.087362e-02   3.196227e-01   1.897773e-01   9.283458e-01  -6.680424e-01  -6.496813e-01   3.628134e-01  -1.588191e+07  -7.827254e+05   1.777692e+07  -4.076302e-01  -6.983324e-01   5.883617e-01  -7.987699e-01  -3.953981e-02  -6.003359e-01   4.424978e-01  -7.146806e-01  -5.416893e-01  -3.586713e-02   2.494669e-02   4.460345e-02  -4.702992e-01   1.983077e-01  -8.599376e-01  -6.580061e-01  -7.281369e-01   1.919496e-01   5.880872e-01  -6.561180e-01  -4.729299e-01
   1.486971e-02   1.486924e-02   1.418012e-02   1.495547e+03   7.719270e-01   3.852199e-01   2.883076e-01   3.264725e-01   5.607753e-02   3.378799e-03   3.587363e-02  -6.379389e+02  -1.902418e+02  -3.167921e+02  -2.631026e+01  -1.632851e+02  -2.791767e+01  -1.031541e+07   2.443750e+06   4.992752e+06  -1.323331e+07   2.720773e+06  -1.866358e+07  -1.031545e+07  -3.338846e+07   1.466822e+07   6.921751e+06   2.443730e+06  -8.755782e+05  -9.226660e+06  -3.645169e+07   4.992750e+06  -1.031540e+07  -3.338846e+07   1.466823e+07   6.921752e+06   2.443744e+06  -8.755770e+05  -9.226648e+06  -3.645168e+07   4.992774e+06   8.970012e-01   1.484565e-01   6.297215e-01  -3.897295e-02   5.993870e-01   1.558691e-01  -2.953780e-02  -8.328423e-02   8.958748e-01   9.328522e-01   1.098589e-01   3.431003e-01  -1.654974e-01   9.766111e-01   1.372636e-01  -3.199959e-01  -1.848289e-01   9.292152e-01   8.526715e-01   6.170707e-01   1.069913e+00   6.594161e-02   2.749648e-01   5.582053e-02  -9.649870e-02  -3.058798e-01   1.117180e-01   5.613292e-02   2.661620e-01   5.614998e-02  -9.688682e-02   4.012365e-01  -8.173142e-02  -8.697398e-01  -3.575743e-01   1.447415e-01   3.608415e-01   5.977042e-02  -4.363485e-01   6.476856e-01  -4.643444e-02   8.261396e-03   5.363375e-02  -4.321019e-02  -2.729593e-02  -1.331525e-01  -3.335614e-03  -6.961534e-03   2.801229e-05  -4.643444e-02  -2.729593e-02   2.801229e-05  -1.747440e-02   2.514907e-02  -7.005700e-02   2.573579e-02   2.848468e-02  -6.309546e-02   7.747492e+02   5.412745e+07   5.412751e+07   5.412750e+07   1.555210e+00   1.555210e+00   1.596945e-01   1.208009e-01   1.044485e-01  -3.816576e+02   4.935355e+02  -7.070025e+02  -2.614762e+02  -1.764942e+02   9.201988e-01   5.765523e-02   3.871821e-01   3.793343e-01  -3.755252e-01  -8.456278e-01  -9.664176e-02  -9.250172e-01   3.674284e-01  -3.285423e+07  -1.269063e+07   4.266595e+07  -6.876393e-02  -7.101259e-01  -7.007087e-01  -9.750085e-01   1.965706e-01  -1.035301e-01   2.112581e-01   6.760778e-01  -7.058957e-01  -8.520502e-02  -5.452636e-02   6.602902e-02  -7.738502e-02   7.588921e-01   6.466022e-01  -9.619592e-01  -2.272660e-01   1.516066e-01   2.620038e-01  -6.102728e-01   7.476102e-01
